"Ticks","ArticleTitle","Title","AbstractText","DOI","city","year","notes","ID"
"ticks in wild","Seroprevalence study of Tick-borne encephalitis, Borrelia burgdorferi, Dengue and Toscana virus in Turin Province.","Cell biochemistry and function","Tick borne encephalitis virus (TBEV) is present in some European countries and it is transmitted by a tick bite. Ixodes ricinus is the main vector of the infection in Italy, where fortunately clinical neurological manifestations, typical of the more serious phase of the disease, are very rarely observed. This behaviour is different from other endemic Euroasiatic areas where numerous cases of encephalitis are described. However TBE transmission has not been widely investigated in Italy and available epidemiological data have been obtained only by studies performed in Central and Northern Regions of the country. In addition seroepidemiological researches were made prevalently on subjects at high risk of tick bite, such as hunters or forest guards from Trentin and Central Italy. No precise information about TBE virus diffusion was available in the Piedmont before our investigations. We found that hunters and wild boar breeders seem to be particularly exposed to the risk of TBE virus infection in Turin Province and in particular in the Susa valley, although no neurological involvement was observed in our population. In particular a seroprevalence of about 5% was detected by the use of purified antigens ELISA test, amongst the subjects at high risk of tick bite. Moreover low risk individuals showed a seroprevalence of below 2%. In addition a parallel seroepidemiological study was performed in Turin Province for Borrelia burgdorferi, the aetiological agent of Lyme disease, also transmitted by tick bite (e.g. Ixodes ricinus), for Dengue and Toscana (TOS) arboviruses, respectively transmitted by Aedes mosquitoes and phlebotomes. Data reported here demonstrate only a sporadic presence in our population of antibodies against Borrelia and Dengue infection. Moreover using an ELISA test performed with viral purified nucleoprotein, we reported a total percentage of about 3% of subjects positive for TOSV.","10.1002/cbf.1302","Turin",2007,"","TIC000001"
"ticks in wild","A nationwide seroprevalence screening for West Nile virus and Tick-borne encephalitis virus in the population of Bulgaria.","Journal of medical virology","To assess local circulation and risk for human infections with West Nile virus (WNV) and Tick-borne encephalitis virus (TBEV) in Bulgaria, a nationwide seroprevalence study was conducted. In total, 1451 residents of all 28 districts in Bulgaria were tested for WNV-specific and TBEV-specific IgG antibodies. The survey found overall seroprevalence of 1.5% and 0.6%, respectively. The highest WNV seroprevalence was found in Sofia Province and districts near the river Danube. TBEV circulation was detected among residents of six districts. The results showed that the two virus infections seem to be more wide-spread in the country as has been described.","10.1002/jmv.24855","Sofia",2017,"","TIC000002"
"ticks in wild","Spotted fever group Rickettsia in brown dog ticks Rhipicephalus sanguineus in southwestern Spain.","Parasitology research","A total of 2,229 adults ticks (1,428 males and 801 females) belonging to the brown dog tick, Rhipicephalus sanguineus Latreille, 1806, collected from dogs in Seville province (Andalusia), distributed in 500 lots ranging from one to eight specimens per lot, were examined for the presence of rickettsiae by molecular techniques. Specific rickettsiae DNA were detected in 90 lots (18%) of ticks tested. Sequence analysis of amplicons revealed that R. sanguineus ticks were infected exclusively with Rickettsia massiliae (including the strain Bar-29). The results of this study extend the knowledge of the geographic distribution and prevalence of these spotted fever group (SFG) rickettsiae and indicate that at least two of them, with yet uncertain pathogenicity to humans, are present in brown dog ticks in south western Spain. Although Mediterranean spotted fever (MSF) is an endemic disease in Andalusia, Rickettsia conorii was not found, whereas R. massiliae, recently described as a pathogenic species, was highly prevalent in this area. Our data suggest that in Andalusia a number of MSF or MSF-like cases attributed to R. conorii could have been actually caused by other SFG rickettsia present in R. sanguineus, particularly, R. massiliae.","10.1007/s00436-008-0938-z","Seville",2008,"","TIC000003"
"ticks in wild","Correlation between meteorological factors and tick-borne encephalitis incidence in the Czech Republic.","Parasitology research","The objective was to discover whether there any demonstrable relationships exist between the incidence of human tick-borne encephalitis (TBE) cases and current meteorological factors and to specify their character. Epidemiological data were extracted from the EPIDAT database (National Institute of Public Health, Prague). Analyzed were a total of 4,613 TBE cases registered in the whole Czech Republic (1994-2001) and 4,637 cases registered in the territory of Bohemia (1994-2004). Meteorological data were from the database of the Czech Hydrometeorological Institute in Prague. A linear relationship has been found between TBE incidence and temperature factors in all the years under study. Lagged cross correlation was used (with the lags in time respective to incubation period from infected tick attack to initial TBE symptoms) and close relations were found for daily mean air temperature and lags 6-14 days (with a peak of 9 days). Effects of the current course of the meteorological situation (as well as long-term year-to-year changes) on TBE incidence are, foremost, mediated by the influence of climatic factors on Ixodes ricinus ticks and their host-seeking activity; under certain conditions, also by the effects of momentary weather on human behavior as TBE in the Czech Republic is a recreational disease connected with outdoor activities.","10.1007/s00436-008-1061-x","Prague",2008,"","TIC000004"
"ticks in wild","High prevalence of Babesia microti 'Munich' type in small mammals from an Ixodes persulcatus/Ixodes trianguliceps sympatric area in the Omsk region, Russia.","Parasitology research","Babesia microti is a genetically diverse group of protozoan parasites whose life cycle is associated with both small mammals and Ixodes spp. ticks. In this study, the prevalence of different B. microti genetic groups in ticks and small rodents in an area with Ixodes persulcatus and Ixodes trianguliceps occurring in sympatry was examined. A total of 541 small mammals were captured during eight sampling periods between 2013 and 2015 at a site in the Omsk region of Russia and tested for the presence of B. microti using nested PCR with subsequent sequencing of positive samples. B. microti DNA was found in 31.6&#xa0;% of examined samples, and prevalence rates ranged from 5.3 to 61.6&#xa0;% in different sampling periods. The sequenced B. microti samples belonged to two genetic groups: enzootic B. microti 'Munich' type and zoonotic B. microti 'US' type. B. microti 'Munich' type was more common across all sampling periods, with greater than 80&#xa0;% prevalence in infected animals. Despite the high B. microti 'Munich'-type prevalence in voles, B. microti was not found in any of 394 adult I. persulcatus ticks collected by flagging or in the 84 I. persulcatus or 20 I. trianguliceps ticks taken from voles and molted under laboratory conditions. It was demonstrated that B. microti 'Munich'-type DNA can be detected in the blood of naturally infected voles for at least 20&#xa0;weeks after capture. Thus, the high prevalence of B. microti 'Munich' type in small mammals may be explained by the prolonged persistence of B. microti in the blood of wild voles.","10.1007/s00436-016-5128-9","Omsk",2016,"","TIC000005"
"ticks in wild","Molecular epidemiology of parasitic protozoa and Ehrlichia canis in wildlife in Madrid (central Spain).","Parasitology research","Wildlife species are involved in the transmission of diverse pathogens. This study aimed to monitor raccoons (Procyon lotor), American minks (Neovison vison), and red foxes (Vulpes vulpes) as potential reservoirs in central Spain. Specifically, 200 spleen and fecal samples (from 194 raccoons, 3 minks, and 3 foxes) were analyzed molecularly by PCR/qPCR and sequencing for the presence of piroplasmids, Hepatozoon spp., Toxoplasma gondii, and Ehrlichia canis infections in the Community of Madrid (Spain). Biological samples were obtained in the years 2014, 2015, and 2016. No pathogen DNA was found in fecal samples. In contrast, analysis of raccoon spleen samples revealed that Toxoplasma was the most prevalent pathogen (prevalence 3.6&#x2009;&#xb1;&#x2009;2.6%), followed by Hepatozoon canis and E. canis (each with a prevalence of 2.57&#x2009;&#xb1;&#x2009;2.2%). Hepatozoon canis was also diagnosed in all three of the analyzed foxes. Analysis of yearly prevalence showed that tick-borne pathogens were less frequent in raccoon in 2015, a dry and warm year compared both to 2014 and 2016. These data suggest that fecal PCR assays are unsuitable for detection of DNA of non-erythrocytic pathogens. Furthermore, they demonstrate that the raccoon (an invasive species often living in proximity to domestic areas) and the red fox are putative reservoirs for pathogenic organisms in the Community of Madrid.","10.1007/s00436-018-5919-2","Madrid",2018,"Bielański Forest (WBF) and Kabacki Forest (WKF); city park in Warsaw: Royal Łazienki Park (WLP); Mazurian Landscape Park (MLP), Białowieża National Park (BNP), and Kampinoski National Park (KNP)","TIC000006"
"ticks in wild","Paradigm Burgenland: risk of Borrelia burgdorferi sensu lato infection indicated by variable seroprevalence rates in hunters.","Wiener klinische Wochenschrift","This study concerns the prevalence of antibodies against B. burgdorferi sensu lato as an indicator of previous borrelial infection among hunters, a group of occupationally exposed persons. In order to define associated risk factors and preparing data for future comparisons, a study was performed in the eight districts of Burgenland, the most eastern state of Austria.Blood samples of 1214 men (median age 51 years, range 18 to 89 years) and 39 women (median age 44 years, range 21 to 69 years) were collected during autumn 2002 and winter 2003. Demographic data regarding age, sex, profession, residence, duration of employment (hunters), hunting-ground, animals in the environment, and history of tick bite were obtained by a questionnaire. A two-step testing strategy was used in which sera were screened for antibodies against B. burgdorferi sensu lato by a commercially available recombinant enzyme-linked immunosorbent assay (Biotest Anti-Borrelia IgG ELISA; Biotest AG, Dreieich, Germany). Reactive sera were then subjected to immuno blot testing (recomBlot Borrelia; Mikrogen, Munich, Germany) for confirmation of specificity.A total of 673 (54%) sera tested positive for IgG antibodies to Borrelia burgdorferi sensu lato: 663 (55%) men and 10 (26%) women. Seropositivity was clearly related to age and duration of hunting activity; it was 33% among persons younger than 29 years and 83% in those older than 70 years. Further, there was also a difference in the distribution of seroprevalence within the districts; the highest was found in hunters from the most southern district of Burgenland, Jennersdorf, (69%) and the lowest was noticed in the most northern district, Neusiedl (39%).We found an overall seroprevalence of 54% in asymptomatic hunters of Burgenland. Infectious risk exists in the entire state but the prevalence rate differs in the various districts indicating a variable risk which peaks in the south. The nearly linear increase of seroprevalence with age and duration of hunting activity reflects repeated tick exposure.","10.1007/s00508-006-0694-y","Munich",2006,"","TIC000007"
"ticks in wild","The clinical presentation, treatment and outcome of serologically confirmed paediatric Lyme disease in the Republic of Ireland over a 5-year period: a retrospective cohort study.","European journal of clinical microbiology &amp; infectious diseases : official publication of the European Society of Clinical Microbiology","Lyme disease (LD) is the most common tick-borne illness in Europe. Population-based studies in European children are few. This study aimed to assess the incidence, clinical presentation, treatment and outcome of serologically confirmed paediatric LD in the Republic of Ireland over a 5-year period. A retrospective review of records from accredited laboratories performing Borrelia burgdorferi serological testing was undertaken. Proformas were distributed to clinicians of children and adolescents with positive Lyme serology. Data were requested regarding clinical presentation, treatment and outcome. Updated NICE guidelines were used to classify clinical cases. Serology testing for B. burgdorferi was performed on 2908 samples. Sixty-three (2.2%) children were two-tier positive, generating a crude annual incidence rate of 1.15/100,000. Proformas were returned for 55 (87%) and 47 met clinical and laboratory criteria for LD. Twenty-seven (57%) presented with non-focal symptoms (erythema migrans and/or influenza-like symptoms), and 20 (43%) with focal symptoms (cranial nerve involvement, 11; CNS involvement, 8; arthritis, 1). Median age at presentation was 8.2 (2.5-17.9) years. Seventeen (36%) acquired LD overseas. Twenty-five (83%) of the remaining 30 children acquired infection in the West/Northwest of Ireland. Full resolution of symptoms was reported in 97% of those with available data. Serologically confirmed LD in children is relatively rare in the Republic of Ireland. Ninety-eight percent of children tested were seronegative. Of the seropositive cases, 40% could have been diagnosed based on clinical findings alone. Neurological presentations (40%) were common. Full resolution of symptoms occurred in almost all (97%) where data were available.","10.1007/s10096-020-04064-7","Nice",2020,"","TIC000008"
"ticks in wild","First report of Borrelia miyamotoi in an Ixodes ricinus tick in Augsburg, Germany.","Experimental &amp; applied acarology","Borrelia miyamotoi, a spirochete found in the hard tick Ixodes ricinus, is thought to cause relapsing fever. The disease caused by this bacterium can manifest with high fever, fatigue and other symptoms. It may also lead to central nervous system involvement with symptoms similar to meningoencephalitis. DNA from ticks from the greater Augsburg region in Germany was subjected to qPCR for Borrelia spp., followed by nested PCR and subsequent sequencing for species identification of the qPCR positive samples. From 112 ticks, 20 were found to be positive for Borrelia. The DNA sequenced showed 50% Borrelia afzelli, 15% Borrelia garinii, 5% Borrelia valaisiana and one sequence was identified as Borrelia miyamotoi. The positive identification of Borrelia miyamotoi is unlikely to be due to contamination. In conclusion, Borrelia miyamotoi has been found in a tick in the Augsburg region for the first time. This follows on from previous reports of a low incidence of this bacterium in southern Germany around Lake Constance and in the Munich region. This infectious agent should be taken into account when patients present with recurring fever or neurological symptoms which cannot be otherwise explained. Tick-borne relapsing fever should now be considered as a cause of such symptoms and medical professionals should contemplate differential Borrelia testing when presented with corresponding symptoms.","10.1007/s10493-018-0220-8","Munich",2018,"English Garden, a recreational park area located in the city of Munich","TIC000009"
"ticks in wild","Effectiveness of tick-borne encephalitis vaccination in Latvia, 2018-2020: an observational study.","Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases","Tick-borne encephalitis (TBE) is an infection by the tick-borne encephalitis virus (TBEV) that results in symptoms of central nervous system inflammation. TBE is endemic in Latvia and other European countries. TBE vaccines are commonly used in Latvia, but vaccine effectiveness estimates are limited.Study staff at R&#x12b;ga Stradin&#x161; University conducted nationwide active surveillance for TBEV infections. Serum and cerebrospinal fluid were ELISA-tested for TBEV-specific IgG and IgM antibodies. Vaccination history was collected by interview and medical record review. Utilizing data from surveillance and population surveys, vaccine effectiveness (with 95% CIs) and cases averted were estimated using the screening method.There were 587 laboratory-identified TBE cases from 2018 to 2020; 98.1% (576/587) were unvaccinated, 1.5% (9/587) were unknown or partially vaccinated, and 0.3% (2/587) were fully vaccinated (three-dose primary series and appropriately timed boosters). TBE resulted in the death of 1.7% (10/587) of TBE cases. TBE vaccine history was ascertained from 92.0% (13&#xa0;247/14&#xa0;399) people from the general population: 38.6% (5113/13&#xa0;247) were unvaccinated, 26.3% (3484/13&#xa0;247) were fully vaccinated, and 35.1% (4650/13&#xa0;247) were partially vaccinated. TBE vaccine effectiveness was 99.5% (98.0-99.9) against TBE, 99.5% (97.9-99.9) against TBE hospitalization, 99.3% (94.8-99.9) against moderate/severe TBE, and 99.2% (94.4-99.9) against TBE hospitalization &gt;12&#xa0;days. From 2018 to 2020, vaccination averted 906 TBE cases, including 20 deaths.TBE vaccine was highly effective in preventing TBE, moderate and severe disease, and prolonged hospitalization. To prevent life-threatening TBE, TBE vaccine uptake and compliance should be increased in Latvia and other European regions where TBE is endemic.","10.1016/j.cmi.2023.06.028","Riga",2023,"linear relationship has been found between TBE incidence and temperature factors in all the years under study.","TIC000010"
